time,F1_ORIGINAL
7423.12,82.2875
7423.22,100.917
7423.32,119.388
7423.42,137.689
7423.52,155.805
7423.62,173.726
7423.72,191.439
7423.82,208.931
7423.92,226.191
7424.02,245.989
7424.12,262.94
7424.22,279.621
7424.32,296.021
7424.42,312.127
7424.52,327.929
7424.62,343.416
7424.72,358.577
7424.82,373.403
7424.92,387.882
7425.02,444.871
7425.12,460.095
7425.22,474.905
7425.32,489.289
7425.42,503.237
7425.52,516.741
7425.62,529.791
7425.72,542.378
7425.82,554.494
7425.92,566.13
7426.02,492.501
7426.12,501.589
7426.22,510.248
7426.32,518.472
7426.42,526.255
7426.52,533.593
7426.62,540.48
7426.72,546.911
7426.82,552.882
7426.92,558.389
7427.02,563.919
7427.12,568.491
7427.22,572.588
7427.32,576.207
7427.42,579.346
7427.52,582.002
7427.62,584.174
7427.72,585.861
7427.82,587.061
7427.92,587.773
7428.02,670.856
7428.12,670.555
7428.22,669.697
7428.32,668.283
7428.42,666.313
7428.52,663.789
7428.62,660.714
7428.72,657.088
7428.82,652.914
7428.92,648.196
7429.02,666.157
7429.12,660.15
7429.22,653.59
7429.32,646.481
7429.42,638.828
7429.52,630.636
7429.62,621.912
7429.72,612.66
7429.82,602.888
7429.92,592.601
7430.02,578.46
7430.12,567.232
7430.22,555.516
7430.32,543.318
7430.42,530.648
7430.52,517.514
7430.62,503.924
7430.72,489.89
7430.82,475.419
7430.92,460.522
7431.02,353.445
7431.12,340.967
7431.22,328.175
7431.32,315.079
7431.42,301.688
7431.52,288.01
7431.62,274.055
7431.72,259.833
7431.82,245.353
7431.92,230.626
7432.02,282.758
7432.12,262.838
7432.22,242.635
7432.32,222.16
7432.42,201.429
7432.52,180.455
7432.62,159.253
7432.72,137.838
7432.82,116.224
7432.92,94.4256
7433.02,71.4636
7433.12,49.6458
7433.22,27.691
7433.32,5.61414
7433.42,0
7433.52,0
7433.62,0
7433.72,0
7433.82,0
7433.92,0
7434.02,0
7434.12,0
7434.22,0
7434.32,0
7434.42,0
7434.52,0
7434.62,0
7434.72,0
7434.82,0
7434.92,0
7435.02,0
7435.12,0
7435.22,0
7435.32,0
7435.42,0
7435.52,0
7435.62,0
7435.72,0
7435.82,0
7435.92,0
7436.02,0
7436.12,0
7436.22,0
7436.32,0
7436.42,0
7436.52,0
7436.62,0
7436.72,0
7436.82,0
7436.92,0
7437.02,0
7437.12,0
7437.22,0
7437.32,0
7437.42,0
7437.52,0
7437.62,0
7437.72,0
7437.82,0
7437.92,0
7438.02,0
7438.12,0
7438.22,0
7438.32,0
7438.42,0
7438.52,0
7438.62,0
7438.72,0
7438.82,0
7438.92,0
7439.02,0
7439.12,0
7439.22,0
7439.32,0
7439.42,0
7439.52,0
7439.62,0
7439.72,0
7439.82,0
7439.92,0
7440.02,0
7440.12,0
7440.22,0
7440.32,0
7440.42,0
7440.52,0
7440.62,0
7440.72,0
7440.82,0
7440.92,0
7441.02,0
7441.12,0
7441.22,0
7441.32,0
7441.42,0
7441.52,0
7441.62,0
7441.72,0
7441.82,0
7441.92,0
7442.02,0
7442.12,0
7442.22,0
7442.32,0
7442.42,0
7442.52,0
7442.62,0
7442.72,0
7442.82,0
7442.92,0
7443.02,0
7443.12,0
7443.22,0
7443.32,0
7443.42,0
7443.52,0
7443.62,0
7443.72,0
7443.82,0
7443.92,0
7444.02,0
7444.12,0
7444.22,0
7444.32,0
7444.42,0
7444.52,0
7444.62,0
7444.72,0
7444.82,0
7444.92,0
7445.02,0
7445.12,0
7445.22,0
7445.32,0
7445.42,0
7445.52,0
7445.62,0
7445.72,0
7445.82,0
7445.92,0
7446.02,0
7446.11,0
7446.21,0
7446.31,0
7446.41,0
7446.51,0
7446.61,0
7446.71,2.2955
7446.81,17.4849
7446.91,32.5896
7447.01,49.5811
7447.11,65.106
7447.21,80.5106
7447.31,95.7843
7447.41,110.917
7447.51,125.897
7447.61,140.716
7447.71,155.362
7447.81,169.826
7447.91,184.098
7448.01,237.822
7448.11,254.453
7448.21,270.82
7448.31,286.909
7448.41,302.712
7448.51,318.215
7448.61,333.41
7448.71,348.285
7448.81,362.831
7448.91,377.037
7449.01,365.241
7449.11,377.853
7449.21,390.121
7449.31,402.036
7449.41,413.592
7449.51,424.778
7449.61,435.589
7449.71,446.016
7449.81,456.053
7449.91,465.691
7450.01,483.582
7450.11,492.567
7450.21,501.128
7450.31,509.259
7450.41,516.954
